id,lat,lon
140530997,54.8506667,37.6672020
140530999,54.8484884,37.6964115
140531001,54.8409765,37.7228474
140531003,54.8354405,37.7472233
140531004,54.8338586,37.7647328
140531008,54.8424747,37.8642499
140531040,54.8596926,38.1637281
266734103,54.8235285,38.2572049
266734105,54.8330785,38.2382737
266734106,54.8407204,38.2322489
266734107,54.8435311,38.2312132
266734108,54.8469027,38.2274492
266734110,54.8517091,38.2190812
266734121,54.8558576,38.2138657
266734125,54.8577238,38.2070514
266734127,54.8580009,38.2033498
266734128,54.8574385,38.1885490
266734129,54.8568441,38.1848786
266734130,54.8562401,38.1821991
266734131,54.8558705,38.1781545
266734132,54.8565752,38.1739452
276983904,55.4785593,38.0566535
276983905,55.4811859,38.0523791
276983906,55.4837539,38.0480790
276983907,55.4862342,38.0438991
276983908,55.4887436,38.0397878
276983909,55.4916515,38.0349813
276983910,55.4943744,38.0304151
276983911,55.4969027,38.0262780
276983912,55.4995523,38.0245786
276983913,55.5024934,38.0227761
276983914,55.5118161,38.0170255
276983915,55.5147223,38.0152917
276983916,55.5178664,38.0133519
276983917,55.5213892,38.0111976
276983918,55.5247903,38.0090518
276983919,55.5281522,38.0069919
276983920,55.5308969,38.0053096
276983921,55.5326019,37.9934821
276983922,55.5334276,37.9873023
276983923,55.5342048,37.9814487
276983924,55.5349820,37.9756980
276983925,55.5357931,37.9698787
276983926,55.5365799,37.9639821
276983927,55.5381827,37.9587464
276983928,55.5398583,37.9531932
276983929,55.5413055,37.9482493
276983930,55.5430149,37.9426961
276983931,55.5442678,37.9384904
276983932,55.5455789,37.9340701
276983933,55.5469774,37.9294782
276983934,55.5481786,37.9257139
276983935,55.5471805,37.9205621
276983936,55.5460791,37.9153934
276983937,55.5442387,37.9107413
276983938,55.5425876,37.9063211
276983939,55.5409559,37.9020038
276983940,55.5377796,37.8936610
305095892,54.8734140,38.2522876
305095893,54.8745467,38.2599169
305095894,54.8778589,38.2250493
305095934,54.8770728,38.2277427
305095935,54.8749310,38.2400232
357967582,55.5318412,37.9988706
357967920,55.5089057,38.0188209
358095689,55.4863400,37.8635141
358095691,55.4892481,37.8641235
358095692,55.4919274,37.8646986
358095694,55.4945871,37.8652737
358095695,55.4979419,37.8659860
358095698,55.5016658,37.8667929
358095699,55.5051026,37.8675482
358095701,55.5088307,37.8683893
358095702,55.5125876,37.8692047
358095704,55.5155375,37.8722689
358095707,55.5178360,37.8747408
358095708,55.5201295,37.8772299
358095709,55.5231760,37.8804743
358095711,55.5258045,37.8832466
358095712,55.5288894,37.8859846
358095713,55.5317263,37.8883964
358095715,55.5345388,37.8908598
358101907,55.4266676,38.1379223
358101909,55.4294145,38.1341028
358101910,55.4320248,38.1303949
358101911,55.4347032,38.1266441
358101912,55.4373959,38.1228762
358101913,55.4401859,38.1189108
358101915,55.4424645,38.1157093
358101916,55.4448306,38.1124306
358101917,55.4474448,38.1081390
358101919,55.4499274,38.1040020
358101921,55.4529695,38.0989466
358101922,55.4552863,38.0951529
358101924,55.4578755,38.0908442
358101925,55.4604645,38.0865955
358101926,55.4630679,38.0823040
358101927,55.4656906,38.0779696
358101930,55.4681867,38.0738239
358101931,55.4707215,38.0696011
358101932,55.4732999,38.0653181
358101934,55.4758344,38.0611210
358105280,55.4016492,38.1730287
358105281,55.4043686,38.1692350
358105283,55.4074728,38.1648233
358105284,55.4104208,38.1607550
358105286,55.4128911,38.1572531
358105288,55.4161797,38.1526869
358105289,55.4187910,38.1489532
358105291,55.4214507,38.1452711
358112908,55.5391359,37.8971330
394847777,54.8670486,38.3864853
394847778,54.8694553,38.3865113
431382279,54.9422360,38.0323804
431382300,54.8890839,38.1946493
431382313,54.8860470,38.0200701
431382319,54.8968577,38.0141507
431382859,54.8280177,38.1392713
431382860,54.8199149,38.1474803
431382861,54.8201930,38.1628341
431382862,54.8336809,38.1793846
431382863,54.8351620,38.2399081
431382864,54.8351683,38.2517742
431382865,54.8509942,38.2638182
431382941,54.8633170,38.1645889
431382942,54.8616597,38.1674266
431382971,54.8674122,38.2364329
431382972,54.8639157,38.2505226
431382973,54.8634936,38.2526424
431382974,54.8633149,38.2547257
431382975,54.8633897,38.2563108
431382976,54.8641131,38.2614778
431382977,54.8646259,38.2631361
431382978,54.8652806,38.2645750
431382979,54.8699695,38.2680542
431382980,54.8707500,38.2687500
431382981,54.8675000,38.2690000
431382982,54.8639682,38.2669486
431382983,54.8636247,38.2657597
431382984,54.8620787,38.2619836
431382985,54.8619955,38.2613258
431382986,54.8614059,38.2563347
431382987,54.8607699,38.2555544
431382988,54.8610261,38.2511950
431382989,54.8618937,38.2476576
431382993,54.8646816,38.2372689
431382994,54.8648990,38.2367500
431382995,54.8646490,38.2362500
431382997,54.8671656,38.2259900
431382998,54.8678331,38.2203666
431382999,54.8682321,38.2162421
431383000,54.8684007,38.2136082
431383001,54.8687653,38.2105100
431383002,54.8691213,38.2086582
431383003,54.8688158,38.1966444
431383004,54.8675825,38.1881534
431383006,54.8680031,38.1873836
431383007,54.8678181,38.1864368
431383008,54.8662999,38.1812747
431383009,54.8663904,38.1804694
431383010,54.8688611,38.1802425
431383011,54.8692969,38.1803650
431383013,54.8710561,38.1942485
431383014,54.8714468,38.1970830
431383015,54.8714828,38.2008899
431383019,54.8711142,38.2140734
431383020,54.8706762,38.2150880
431383021,54.8699762,38.2174901
431383022,54.8699855,38.2180709
431383023,54.8696296,38.2225438
431383024,54.8694732,38.2237687
431383025,54.8694175,38.2246323
431383026,54.8693338,38.2262300
431383027,54.8697161,38.2266423
431383028,54.8696380,38.2273751
431383029,54.8688338,38.2304732
431383030,54.8217277,38.1382410
431383031,54.8228182,38.1373732
431383035,54.8359511,38.1855407
431383036,54.8367023,38.1917324
431383037,54.8374495,38.1953121
431383038,54.8437538,38.2305402
431383039,54.8342397,38.2409641
431383040,54.8448993,38.2649168
431383044,54.8285860,38.1699450
431383046,54.8248641,38.1741807
431383047,54.8245146,38.1715718
434555518,54.8604707,38.3412751
434555524,54.8594417,38.3290399
434555527,54.8597439,38.3273669
434555530,54.8592555,38.3259118
434555534,54.8591657,38.3242205
434555538,54.8590326,38.3226372
434555541,54.8589997,38.3125565
434555543,54.8592129,38.3114736
